detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp
879567	23208	54319	41	5,72	0	2022-07-13 10:50:40.477
879568	23208	54319	41	5,68	0	2022-07-13 10:50:45.507
879569	23208	54319	42	5,67	0	2022-07-13 10:50:50.523
879570	23208	54319	41	5,7	0	2022-07-13 10:50:55.553
879571	23208	54319	41	5,7	0	2022-07-13 10:51:00.570
879572	23208	54319	41	5,68	0	2022-07-13 10:51:05.617
879573	23208	54319	42	5,68	1	2022-07-13 10:51:10.647
879574	23208	54319	41	5,73	0	2022-07-13 10:51:15.647
879575	23208	54319	42	5,7	0	2022-07-13 10:51:20.680
879576	23208	54319	41	5,7	0	2022-07-13 10:51:25.710
879577	23208	54319	41	5,73	0	2022-07-13 10:51:30.727
879578	23208	54319	41	5,7	0	2022-07-13 10:51:35.760
879579	23208	54319	42	5,7	0	2022-07-13 10:51:40.773
879580	23208	54319	42	5,71	0	2022-07-13 10:51:45.790
879581	23208	54319	41	5,7	1	2022-07-13 10:51:50.820
879582	23208	54319	42	5,74	0	2022-07-13 10:51:55.853
879583	23208	54319	41	5,7	0	2022-07-13 10:52:00.900
879584	23208	54319	41	5,73	0	2022-07-13 10:52:05.900
879585	23208	54319	41	5,67	0	2022-07-13 10:52:10.947
879586	23208	54319	41	5,69	1	2022-07-13 10:52:15.963
879587	23208	54319	41	5,71	1	2022-07-13 10:52:20.980
879588	23208	54319	42	5,71	0	2022-07-13 10:52:26.010
879589	23208	54319	42	5,73	0	2022-07-13 10:52:31.027
879590	23208	54319	42	5,71	0	2022-07-13 10:52:36.057
879591	23208	54319	41	5,73	0	2022-07-13 10:52:41.103
879592	23208	54319	42	5,66	1	2022-07-13 10:52:46.103
879593	23208	54319	41	5,69	1	2022-07-13 10:53:01.400
879595	23208	54319	41	5,75	1	2022-07-13 10:53:15.560
879596	23208	54319	42	5,72	0	2022-07-13 10:53:17.183
879597	23208	54319	41	5,72	0	2022-07-13 10:53:18.137
879598	23208	54319	41	5,74	0	2022-07-13 10:53:22.010
879599	23208	54319	41	5,71	1	2022-07-13 10:53:26.310
879600	23208	54319	42	5,75	1	2022-07-13 10:53:31.323
879601	23208	54319	41	5,68	1	2022-07-13 10:53:36.357
879602	23208	54319	42	5,74	0	2022-07-13 10:53:41.387
879603	23208	54319	41	5,7	0	2022-07-13 10:53:46.403
